Name_company,Note trust pilot,Nombre avis,Localisation company,Domaine d activité,nombre d'avis excellent
lily-jewelry.fr,"4,4",126,"Paris, France",Bijouterie,66 %
Zahros,"4,4",111,"Lagrave, France",Bijouterie,69 %
Peeweepaw,"4,9",1 244,"Montesson, France",Animalerie,94 %
Le meilleur pour mon lapin,"4,9",169,"Quint-fonsegrives, France",Animalerie,96 %
Anizoo,"4,8",661,,Animalerie,94 %
Animauxvillas,"4,8",602,"Waalwijk, France",Magasin d'articles pour animaux·Animalerie,90 %
Danse avec ton chien,"4,8",245,"Labastide d'Armagnac, France",Animalerie·Magasin d'articles pour animaux·Dresseur de chiens·Attraction touristique,94 %
"Fenril.fr, Chiens actifs & Outdoor","4,7",15 110,"MEAUDRE, France",Magasin d'accessoires de vélo·Magasin de sports d'hiver·Animalerie,84 %
Oiseaux Mania,"4,7",6 275,"CHASSIEU, France",Jardinerie·Animalerie,81 %
Petdesign.fr - my grooming shop,"4,7",534,"Foulayronnes, France",Animalerie,86 %
Medailleschien,"4,7",524,"Montelimar, France",Animalerie,81 %
Shine'S,"4,7",50,"Champagné st Hilaire, France",Animalerie,98 %
Petmeds.fr,"4,6",8 489,"London, France",Animalerie,67 %
lebonaqua.fr,"4,6",73,"Châteaubourg, France",Animalerie·Aquarium·Magasin d'aquariophilie·Magasin d'articles pour animaux,85 %
Croquetteland,"4,3",15 865,"Lyon, France",Animalerie,71 %
Medpets,"4,3",5 609,"Oud Gastel, France",Animalerie,71 %
Equirodi.com,"4,3",970,"Dole, France",Animalerie,53 %
Alpha Spirit,"4,3",51,"Brillon, France",Animalerie·Magasin d'alimentation animale,72 %
Brekz.fr,"4,0",29 829,"Utrecht, France",Animalerie,69 %
Aquaplante,"4,0",1 659,"SARTROUVILLE, France",Magasin d'aquariophilie·Animalerie,61 %
LA COMPAGNIE DES ANIMAUX,"4,0",1 492,,Animalerie,64 %
Jaiplusdecroquettes.com,"3,6",1 743,"CHAMPAGNE AU MONT D'OR, France",Animalerie,78 %
Puppy Safe,"4,6",487,,Animalerie,83 %
Ouaf Ouaf,"4,6",50,"Linlithgow, France",Animalerie,84 %
Omlet France,"4,6",29,"Banbury, France",Animalerie,86 %
Wanimo,"4,5",33 465,"Dardilly, France",Animalerie,73 %
Fourmiculture,"4,4",38,"Léoncel, France",Animalerie,84 %
