,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
10,J’ai fait la commande une première en…,07 avril 2023,J’ai fait la commande une première en bénéficiant d’un code promo. Cependant mon adresse n’était pas bonne donc j’ai été obligé d’annuler ma commande et de refaire celle ci sauf qu’il m’a été impossible de réutiliser le code promo donc je ne suis pas du tout satisfait,Fabrice,1 avis,FR,True,Showroomprive.com,"Bonjour Fabrice,

Je suis navré de lire que vous n'êtes pas satisfait de ne pas avoir pu bénéficier d'un code promotionnel suite à une erreur sur l'adresse de livraison de votre première commande.

Je comprends votre ressenti et regrette que vous ayez à subir ce désagrément.

En effet, les codes et offres promotionnelles sur notre site sont à usage unique.

Soucieux de votre satisfaction, je vais vous contacter en privé par rapport à ce sujet.

Tafitasoa.",1
11,A fuir SAV incompétent,08 avril 2023,"Suite à un colis noté livré par Colissimo mais malheureusement absent de ma boîte aux lettres, j'ai procédé à une réclamation auprès de Colissimo qui m envoi un mail à transmettre à l expéditeur, confirmant la non réception de mon colis.
Je contacte showroom privée afin d obtenir un moyen de leur transmettre, ils refusent ils ne regardent que le suivi qui indique le colis livré.
Bien sûr je désinstalle l'application showroom privée, je n y ferai plus jamais aucune commande !",Delphine J,1 avis,FR,True,Showroomprive.com,"Bonjour Delphine,

Je suis sincèrement désolée d'apprendre la non-réception de votre commande marquée comme étant livrée selon le transporteur.

Afin de vous aider au mieux et en discuter de vive voix, je vous invite à me transmettre en priver votre numéro de commande s'il vous plaît.

Noro",1
12,Achat d’une vente Daniel Wellington…,04 avril 2023,"Achat d’une vente Daniel Wellington effectué avec « livraison garantie le 31 mars ». Paiement débité dès le lendemain de l’achat avant même la confirmation de la commande par Showroom et donc l’expédition du produit.
Le 1er avril commande toujours en cours de préparation. Aucunes nouvelles, plusieurs réclamations sans retours et un appel de passé.
Le 4 avril, commande annulée sans motif. Aucun geste commercial.",BL,1 avis,FR,True,Showroomprive.com,"Bonjour Ludivine,

Je suis désolé d'apprendre que votre commande a été annulée.

Je vous prie d'accepter nos excuses pour cet incident.

Je remonte votre cas auprès du service en charge.

Vous serez recontacté aujourd'hui.

Si besoin, nous restons à votre entière disposition.

Tafitasoa.",1
13,Comme d'habitude,06 avril 2023,"Comme d'habitude, les produits de ma commande sont exactement ceux du site concerné !
De bonne qualité et taille respectée !
Mais ce qui me chagrine c'est que je paye des taxes assez conséquentes à la livraison mais ça ce n'est pas de votre faute !",Francoise,1 avis,RE,True,Showroomprive.com,"Bonjour Françoise,

Vous nous faites part de votre satisfaction concernant la qualité de nos articles.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

Concernant les taxes, les commandes à destination des DOM-TOM ont un tarif hors taxe, vos produits peuvent être soumis à des droits de douane et taxes supplémentaires. La responsabilité de ces frais vous incombe lors de la livraison de votre colis.

Par ailleurs, nous restons tributaires face à ces frais des douanes dans la mesure où c'est l'autorité compétente du pays destinataire qui fixe ces taxes.

Noro",5
14,Expérience mitigée,07 avril 2023,"Super affaire qualité/prix.
Mais déception après avoir reçu l'accusé de l'envoi, j'ai reçu un mail le lendemain pour me dire que l'une des paire des baskets ne serait pas dans mon colis mais remboursé....",Mle. Amandine MICHEL,4 avis,FR,True,Showroomprive.com,"Bonjour Amandine,

Je vous présente mes excuses au nom de Showroomprivé pour cette déconvenue.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous à ce sujet.

Valisoa",3
15,Grand choix,06 avril 2023,"J'aime bien ce site pour les promos et le grand choix de produits et de marques.
Cependant, à la dernière commande, il a manqué quelques articles. Ils me sont remboursés mais à ce moment là, il ne faut pas dire que les stocks sont suffisants.",Adrien,2 avis,FR,True,Showroomprive.com,"Bonjour Adrien,

Je vous remercie de votre appréciation.

Tout d'abord, sachez que votre satisfaction est notre priorité, je vous présente donc mes sincères excuses quant à l'annulation partielle de votre commande.


Il s'agit d'une rupture de stock auprès de notre fournisseur.


En effet, les marques nous réservent un stock défini, il arrive dans certains cas que des différences se fassent entre le stock initialement commandé et le stock reçu, c'est ce qui nous différencie des ventes traditionnelles.


Je vous confirme que notre service a pris le soin de procéder au remboursement de l’article manquant.

Rassurez-vous, une remontée de votre observation a bien été faite auprès de nos services dans le cadre de l'amélioration de notre prestation.

Noro",4
16,Je viens de réserver un voyage et la…,07 avril 2023,"Je viens de réserver un voyage et la facilité est au rendez-vous maintenant à voir les prestations annoncées sur place .
Mon regret concernant le site c’est l’absence de code promo
Cordialement",LF,3 avis,FR,False,,,5
17,Un mois de délai de livraison !,29 mars 2023,Un mois de délai de livraison pour un costume... Je serai en vacances pendant la date prévue de livraison et ne pourrait pas retirer le colis. La date de livraison n'était pas affichée avant le paiement... Quel manque de bon sens dans la manière de gérer les commandes.,Benoît Moussier,12 avis,FR,True,Showroomprive.com,"Bonjour Benoît,

Je suis sincèrement navré que vous ayez ce sentiment.

Je vous assure que la date de livraison est bien mentionnée sur la fiche du produit lors de la sélection de l'article.

Cette information est également indiquée lors de la sélection du mode de livraison et lors de la récapitulation de votre achat avant de finaliser la commande.

Nous allons vous contacter pour vous donner les modalités à suivre concernant la livraison de votre commande.

Cordialement.

Tafitasoa.",1
18,Ikita à tout petit prix,08 avril 2023,Les articles reçus sont parfaits et à un prix plus qu'intéressant ! Petit bémol cependant pour le délai de livraison mais c'est habituel sur votre site...,Nathalie,6 avis,FR,True,Showroomprive.com,"Bonjour Nathalie,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que du délai de livraison.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service de livraison et ce sont vos commentaires qui nous permettent de le faire.

À très bientôt sur Showroomprive.com !

Valisoa",4
19,article commandé et payé il y a plus…,05 avril 2023,"article commandé et payé il y a plus d'un mois, showroomprive annule la commande maintenant. C'est facile de se faire de la tresorerie sur les clients....Ou vendre des articles qui ne sont pas livrés. L'article commandé n'est plus en production?",MALATERRE NICOLAS,6 avis,FR,True,Showroomprive.com,"Bonjour Nicolas,

Avant tout, je vous prie d'accepter mes excuses pour ce désagrément.

Il s'agit d'une rupture de stock auprès de notre fournisseur.

Les marques nous réservent un stock défini, il arrive dans certains cas que des différences se fassent entre le stock initialement commandé et le stock reçu.

Je vous informe avoir pris en compte votre réclamation et que nous allons vous contacter à ce sujet.

Tafitasoa.",1
20,Ravie de ma commande,06 avril 2023,Je suis ravie de ma commande. Elle a été expédiée rapidement. Les articles sont bien emballés. Et le prix global ne représente que 30% de la valeur des marchandises. Avec en prime un bon de réduction.,Séverine Serbat,7 avis,FR,True,Showroomprive.com,"Bonjour Séverine,

Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !

À très bientôt sur Showroomprive.com.

Noro",5
21,voila mtn 3H que je tente de contacter…,07 avril 2023,"voila mtn 3H que je tente de contacter le service client !!! c'est la 13 fois que je téléphone et personne ne répond, la communication coup au bout de 10 minutes !!!

surtout ne commander pas sur ce site !!!!!

service client 0 !!!",Marie Kuczawski,1 avis,BE,True,Showroomprive.com,"Bonjour Marie,

Je suis sincèrement navré pour cette situation.

Effectivement, notre service était indisponible dans la matinée suite à un dysfonctionnement technique.

Afin de vous aider au mieux, je vous invite à me transmettre en privé vos coordonnées.

Je reste dans l'attente de vous lire.

Tafitasoa.",1
22,Je vien de commander un colis mais je…,06 avril 2023,Je vien de commander une montre mais je sais pas du tou ou y se trouve le site sa me met aucune commande alors que j'ai validé l'achat avec ma banque je dois la recevoir le 15 j'espère que je l'ai sinon un remboursement !!!,Rabiya Bener,1 avis,FR,True,Showroomprive.com,"Bonjour Rabiya,

Je suis navré que vous ayez autant de souci pour retrouver votre commande.

Pour que je puisse vous aider à identifier la commande au plus, vite, je vous prie de me communiquer votre adresse e-mail ou vos coordonnées en privé.

Je reste dans l'attente de vous lire.

Tafitasoa",1
23,Livraison rapide.j’avais commandé 3…,06 avril 2023,"Livraison rapide.j’avais commandé 3 paires de baskets enfants. Sur les trois, j’ai reçu une paire jaune alors que j’avais commandé du kaki !!!!! Heureusement les tailles étaient correctes.",Michèle,1 avis,FR,True,Showroomprive.com,"Bonjour Michèle,

Je suis sincèrement désolé d'apprendre que vous ayez reçu une paire de chaussures non conforme.

Je vous présente nos excuses pour ce désagrément.

Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de donner suite à votre requête.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Noro",3
24,Article incomplet et plus petit que sur…,07 avril 2023,"Article incomplet et plus petit que sur le site, ça n'est pas tant pour le prix, encore que ! Shaker tupperware.... mais je ne me ferai plus avoir car ce n'est pas la première déception.",C. SCOUARNEC,3 avis,FR,True,Showroomprive.com,"Bonjour Chantal,

Je suis sincèrement désolée d'apprendre que vous ayez reçu votre commande non-conforme.

Je vous présente mes excuses pour ce désagrément.

Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de donner suite à votre requête.

Noro",1
25,Qualité et sérieux,09 avril 2023,"Livraison rapide mais dans un point relais différent de celui que j'avais choisi.
Le vêtement me plait et me convient sur tous les plans.",Colette KAMIENIAK,4 avis,FR,True,Showroomprive.com,"Bonjour Colette,

Merci beaucoup d'avoir pris le temps de nous faire part de votre satisfaction quant à la qualité du trench de votre commande.

Je regrette sincèrement que la livraison n'a pas pu se faire dans le point de retrait que vous avez choisi lors de la validation de l'achat.

Je remonte votre cas auprès de notre service en relation direct avec le transporteur afin qu'elle soit pris en compte avec la plus grande attention.

En espérant pouvoir compter sur votre fidélité, je vous souhaite une excellente journée !

Tafitasoa.",5
26,Plus beau en photos qu'en réalité !,03 avril 2023,"J'ai commandé des bijoux de marque CHARLIZE (très beaux en photos sur le site mais beaucoup plus cheap une fois le colis déballé) soit disant dorés à l'or fin, je les ai reçu dans une pochette en plastique, aucune preuve de la qualité...rien ne me prouve que ce ne sont pas des bijoux fantaisie et la marque CHARLIZE est bizarrement introuvable sur internet...C'est la dernière fois que je commande je pense, c'est décevant.",Mimi,2 avis,FR,True,Showroomprive.com,"Bonjour Emilie,

Vous nous faites part de vos doutes quant à l’authenticité des produits sur notre site.

Nous sommes navrés que vous ayez ce sentiment.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Cordialement,

Ghita",2
27,De plus en plus déçue par ce site,04 avril 2023,"De plus en plus déçue par ce site, l'offre infinity n'est plus du tout avantageuse, la commande doit dorénavant atteindre 30 euros au lieu de 20 pour pouvoir bénéficier d'une livraison gratuite et ne s'applique que sur quelques rares offres (mode et jouets)
Je ne recommande plus su tout cette application! C'était pourtant celle que je recommandais le plus a une epoque.",Charline L,2 avis,FR,True,Showroomprive.com,"Bonjour Charline,

Je suis sincèrement désolé d'apprendre que votre récente expérience sur notre site ne s'est pas passée comme prévu.

Souhaitant vous apporter mon aide, je vous prie de bien vouloir renouveler votre réclamation en nous faisant parvenir le numéro de l'une de vos commandes.

Nous restons évidemment disponibles si besoin.

Bien à vous,

Othmane",2
28,J’ai commandé une petite paire de…,31 mars 2023,"J’ai commandé une petite paire de baskets / chaussons bébé Hugo Boss sur une vente Kids Around, malheureusement je n’ai pas reçu la bonne paire.
Sachant qu’aucun échange n’est possible sur une vente ponctuelle, on me propose juste un retour à leur frais. Certes l’erreur est humaine mais je pense que j’aurais mérité un petit geste commercial sauf que celui-ci ne m’a pas été proposé. Je crois que je vais tout simplement stopper mes achats chez Showroomprivé",Valé,2 avis,FR,True,Showroomprive.com,"Bonjour Valérie,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente mes excuses pour cette situation.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Cordialement,

Ghita",1
29,Manquait un article dans ma commande je ne recommande pas heureusement l affaire a ete rapidement reglee je regrette bien d avoir pris infinity car je ne commandrai plus,04 avril 2023,Commande incomplete il manquait un article quand j ai ouvert mon colis donc jr ne recommande pas en plis j ai pris l abonnement infinity pour les frais de port a venir mais je ne commandrai plus donc pas avantageux,Edith,4 avis,FR,True,Showroomprive.com,"Bonjour Edith,

Tout d'abord, sachez que votre satisfaction est notre priorité, je vous présente donc mes sincères excuses quant à l'annulation partielle de votre commande.

Il s'agit d'une rupture de stock auprès de notre fournisseur.

En effet, les marques nous réservent un stock défini, il arrive dans certains cas que des différences se fassent entre le stock initialement commandé et le stock reçu, c'est ce qui nous différencie des ventes traditionnelles.

Je vous confirme que notre service a pris le soin de procéder au remboursement de l’article manquant.

Cordialement,

Ghita",2
30,Commande peu conforme aux photos sur la…,08 avril 2023,"Commande peu conforme aux photos sur la vente privée, très déçue de cet achat
Cadres et images de très mauvaise qualité",Séverine,1 avis,FR,True,Showroomprive.com,"Bonjour Séverine,

J'ai pis connaissance de votre avis concernant la qualité des tableaux de votre commande.

Je regrette que vous ayez à subir ces désagréments.

Nous apportons un soin tout particulier à la satisfaction de nos membres et il est important que je remonte votre réclamation auprès de notre service qualité afin qu'elle soit prise en compte avec la plus grande attention.

Je vais également vous contacter en privé par rapport à ce sujet.

Bonne journée !

Tafitasoa.",1
31,Quatre articles oubliés - chantage au remboursement,02 avril 2023,"Quatre articles oubliés, deux articles non commandés dans mon colis, et on me demande de me déplacer pour renvoyer les deux articles non commandés dans un mondial relay alors que j'ai payé une livraison à domicile pour accepter de me rembourser le prix des articles non reçus...",Emilie,3 avis,FR,True,Showroomprive.com,"Bonjour Emilie,

Je suis sincèrement navrée d'apprendre que votre expérience ne s'est pas passée comme souhaitée.

Je vous présente mes excuses pour cette situation.

Je vous informe que votre mécontentement a bien été pris en charge et que vous serez recontactée à ce sujet.

Cordialement,

Ghita",1
