,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
43,C est la 1ere fois que je reçois un…,03 avril 2023,C est la 1ere fois que je reçois un colis mal préparé avec des articles fragiles qui ont été détériorés pendant le transport parce que mal calés . C était pour offrir … tant pis …,Madame PERUGINI,9 avis,FR,True,Showroomprive.com,"Bonjour Martine,

Je suis sincèrement navré d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente mes excuses pour cette situation.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Reda",3
44,Les tailles commandées n ont pas été respectées,07 avril 2023,7 articles sur 8 avaient une taille supérieure à celle commandée ! Une taille L alors que j ai commandé du 40,Mademoiselle Rose Dampierre,2 avis,FR,True,Showroomprive.com,"Bonjour Rose,

Vous signalez avoir reçu 7 articles en taille L alors que vous avez commandé en taille 40.

Je vous prie d'accepter mes excuses au nom de Showrromprivé.com pour cette erreur.

Je prends note de votre dossier et vous confirme que je remonte immédiatement cet incident auprès de notre service logistique.

Nous allons vous contacter en privé afin de vous apporter plus de précisions sur le traitement de votre réclamation.

Bien à vous,

Tafitasoa.",1
45,Bon site,07 avril 2023,Bon site mais je pense que les réductions pourraient être plus grandes. Sinon satisfaite de ma commande dans l'ensemble.,Brynie92,45 avis,FR,True,Showroomprive.com,"Bonjour Sylvie,

Toute l'équipe de Showroomprive.com tient à vous remercier pour le retour positif que vous avez pris soin de partager.

A propos de votre suggestion concernant les réductions, je vous confirme l'avoir remonté auprès de notre service marketing dans le cadre de l'amélioration de notre prestation.

Noro",4
46,Moyennement intéressant,07 avril 2023,"Dommage Frais de
Ports très élevés et pas possible de cumuler les coupons parrainage avec les offres",Amelie,4 avis,FR,True,Showroomprive.com,"Bonjour Amelie,

Vous nous signalez que les frais de livraison sont trop élevés et que les bons d'achat de parrainage ne sont pas cumulables.

En fait, ces frais de livraison sont directement demandés par nos transporteurs.

Par ailleurs, les bons d'achat de parrainage sont cumulables mais uniquement avec d'autres bons d'achat de parrainage.

En tout cas, j'ai pris bonne note de vos remarques et les remontes auprès de notre service supérieur pour améliorer de plus en plus notre service.

À très bientôt sur Showroomprive.com !

Valisoa",3
47,Le canapé est arrivé taché sur un…,31 mars 2023,Le canapé est arrivé taché sur un montant et les livreurs n'avaient pas de matériel pour monter les pieds du canapé. J'ai du aller acheter une visseuse et réaliser le montage.,Laurence,1 avis,FR,True,Showroomprive.com,"Bonjour Laurence,

Je suis sincèrement navré d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente mes excuses pour cette situation.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Reda",2
48,Je n’ai pas reçu mon colis et moi et…,07 avril 2023,"Je n’ai pas reçu mon colis et moi et mes proches nous faisons traiter comme des criminels. Lettres manuscrites attestants sur l’honneur la non réception, photocopie carte d’identité… Alors qu’en 8 jours aucune réponse de leur côté… Le plus beau, c’est que j’ai dû payer plus de 7€ de frais de livraison, à ce prix là, on se demande pourquoi il n’y a pas d’accusé de réception…

Le service clients m’a appelé pour me dire quoi : que mon colis a été livré. Sérieusement ? Si tous les jours depuis une semaine je réclame des réponses, c’est justement parce que je ne l’ai pas reçu. Mais quand je demande où, quand … pas de réponse. Comment était la maison, couleur de la boîte aux lettres ? … Mes parents étaient là toute la journée soit disant de la livraison. Si le livreur était venu et avait sonné, on l’aurait eu … Il ne me communique même pas le nom d’un responsable client. Y en a t-il au moins chez Showroomprivé, j’en doute. Le pire service Clients auquel j’ai eu à faire. Des robots qui répètent tous la même chose et qui n’apportent aucunes réponses concrètes",Celine,2 avis,FR,True,Showroomprive.com,"Bonjour Céline,

Je suis sincèrement navré d'apprendre que vous ayez à subir ces désagréments par rapport à une commande effectuée sur notre site.

Je vous présente mes excuses pour cette situation.

Je vous informe avoir pris en charge votre avis et vous confirme que vous serez contactée afin d'échanger avec vous sur ce sujet.

Tafitasoa.",1
49,Cliente depuis de nombreuses années je…,08 avril 2023,Cliente depuis de nombreuses années je n'ai jamais eu de soucis... je recommande,Marie-Christine DECHA,2 avis,FR,True,Showroomprive.com,"Bonjour Marie-Christine,

Merci beaucoup d'avoir pris le temps de nous faire part de votre expérience sur notre site.

Soyez assurée que nous mettons tout en œuvre pour vous donner satisfaction !

Votre commentaire fait énormément plaisir à l'ensemble de nos équipes et nous sommes heureux de vous compter parmi nos clients.

Bonne journée :)

Tafitasoa.",5
50,Déçue,06 avril 2023,Une partie de ma commande a été annulée au moment de l'expédition. 3 produits sur 5 arrivés cassés.,Catherine,1 avis,FR,True,Showroomprive.com,"Bonjour Catherine,

Tout d'abord, sachez que votre satisfaction est notre priorité, je vous présente donc mes sincères excuses quant à l'annulation partielle de votre commande.


Il s'agit d'une rupture de stock auprès de notre fournisseur.


En effet, les marques nous réservent un stock défini, il arrive dans certains cas que des différences se fassent entre le stock initialement commandé et le stock reçu, c'est ce qui nous différencie des ventes traditionnelles.


Je vous confirme que notre service a pris le soin de procéder au remboursement de l’article manquant.

Je vous informe avoir pris en charge votre réclamation concernant vos articles reçus cassés et vous confirme que vous serez recontactée aujourd'hui afin d'échanger avec vous sur ce sujet.

Noro",2
51,Erreur sur le produit,08 avril 2023,"Erreur sur le produit, j'ai reçu une couleur différente de celle commandée.",Loïc de CLOCK,1 avis,FR,True,Showroomprive.com,"Bonjour Loïc,

J'ai pris connaissance de votre réclamation sur la couleur de la veste reçue dans votre commande.

Je vous prie d'accepter mes excuses au nom de Showroomprivé.com.

Je suis conscient que cette erreur soit gênante pour nos clients et vous assure que cet incident ne reflète en aucun cas ce que nous souhaitons vous démontrer.

Je prends en charge de votre dossier et je vous contacterai au plus vite à ce sujet.

Bonne journée !

Tafitasoa.",1
52,Produit conforme à la description sur…,08 avril 2023,"Produit conforme à la description sur le site, expédition rapide et soignée",Nadine PERDEREAU,3 avis,FR,True,Showroomprive.com,"Bonjour Nadine,

Merci d'avoir pris le temps de nous faire part de votre appréciation !

Soyez assurée que nous mettons tout en œuvre pour vous donner satisfaction et le plus tôt possible :)

Votre avis très positif fait énormément plaisir à l'ensemble de nos équipes !

Bonne journée.

Tafitasoa.",5
53,Livraison rapide,06 avril 2023,"Livraison rapide
Chaussures Géox de très belle qualité et à un prix défiant toute concurrence",isabelle poulain,4 avis,FR,True,Showroomprive.com,"Bonjour Isabelle,

Merci d'avoir partagé votre expérience avec nous, votre message illumine notre journée !

À très bientôt sur Showroomprive.com.

Noro",5
54,Je suis satisfaite du site…,08 avril 2023,Je suis satisfaite du site Showroomprive.com ainsi que de la livraison.,veronique,15 avis,FR,True,Showroomprive.com,"Bonjour Véronique,

Un grand merci pour votre appréciation !

Nous sommes heureux de vous compter parmi nos clients :)

Bonne journée de la part de toute l'équipe.

Tafitasoa.",5
55,Cde du 02/04/23,08 avril 2023,"Les chaussures correspondent à mon attente
Emballage et délais parfaits",Christine,1 avis,FR,True,Showroomprive.com,"Bonjour Christine,

Merci Beaucoup d'avoir pris le temps de nous faire part de votre satisfaction.

Nous sommes ravis que les baskets aient bien répondu à vos attentes.

Votre commentaire fait plaisir à l'ensemble de nos équipes.

Bonne journée :)

Tafitasoa.",5
56,C’est pour faire un cadeau pour…,07 avril 2023,C’est pour faire un cadeau pour l’anniversaire de ma sœur et elle adore Camaïeu.,Dupé Geneviève,10 avis,FR,True,Showroomprive.com,"Bonjour Geneviève,

Un grand merci pour votre appréciation :)

Nous sommes ravis que vous soyez satisfaite de votre commande.

Très heureux de vous compter parmi nos clients.

Vous pouvez aussi recommander le site à votre sœur ;) La marque Camaïeu est très régulière sur Showroomprivé.com.

Bonne journée de la part de toute l'équipe.

Tafitasoa.",5
57,Mauvaise Qualité,08 avril 2023,La qualité n'est pas terrible de plis délai très lo g poir être livré.,Assya,4 avis,FR,True,Showroomprive.com,"Bonjour Assya,

Je suis navré que les articles de votre commande ne vous apportent pas entière satisfaction.

Je prends note également de votre ressenti concernant le délai de livraison.

Je vous remercie d'avoir pris le temps de nous faire part de votre avis par rapport à ces sujets.

Je prends en charge votre dossier et je vous contacterai au plus vite sur ces points.

Tafitasoa.",1
58,Je n'ai reçu que la moitié de ma…,05 avril 2023,Je n'ai reçu que la moitié de ma commande et elle n'a pas été livrée dans le relai demandé !,Laurent BERNARD,2 avis,FR,True,Showroomprive.com,"Bonjour Laurent,

Je suis navré d'apprendre que vous n'avez pas reçu l'intégralité de votre commande.

Je regrette aussi que le colis ait été déposé dans un autre point relais.

Veuillez accepter mes excuses pour cette situation.

Je prends note de votre dossier et vous assure que nous allons vous contacter rapidement afin de discuter de votre dossier.

Tafitasoa.",1
59,Je reçois un article pas conforme et…,29 mars 2023,"Je reçois un article pas conforme et j’envoie la preuve, ils sont bien vu mais ils font rien derrière , je suis déçu future maman ;(",Imene,3 avis,FR,True,Showroomprive.com,"Bonjour Imene,

Je suis sincèrement désolé d'apprendre que vous ayez reçu votre article non-conforme.

Je vous présente nos excuses pour ce désagrément.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service.

Par ailleurs, je vous informe avoir pris en charge votre réclamation.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",2
